Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Kota Makasar,109,112,133,155,139.57,117.38
Kota Parepare,80,76,74,82,80.56,78.82
Kota Palopo,66,64,59,68,73.9,104.79
Buton,32,53,27,41,49.7,83.44
Muna,28,29,24,44,50.84,40.29
Konawe,104,87,64,76,39.78,58.95
Kolaka,119,159,158,162,172.55,148.62
Konawe Selatan,87,95,110,108,120.18,101.86
Bombana,74,89,74,87,72.45,89.44
Wakatobi,44,21,26,33,24.5,43.86
Kolaka Utara,53,71,57,75,67.19,60.92
Buton Utara,33,37,43,59,53.33,45.82
Konawe Utara,54,34,65,66,72.38,64.76
Kolaka Timur,149,85,79,108,125.85,114.33
Konawe Kepulauan,54,35,10,30,49.86,17.73
Muna Barat,31,26,36,54,38.52,46.6
Buton Tengah,41,9,11,29,29.49,31.83
Buton Selatan,5,14,15,15,14.74,25.33
Kota Kendari,128,89,92,110,112.34,134.33
Kota Baubau,58,28,34,64,63.58,59.72
Boalemo,18,20,11,17,22.45,39.64
Gorontalo,5,11,10,21,16.66,29.11
Pohuwato,24,40,20,31,12.04,14.79
Bone Bolango,7,13,9,14,13.05,5.63
Gorontalo Utara,6,15,13,32,32.4,38.26
Kota Gorontalo,17,3,7,15,27.64,22.21
Majene,39,39,39,57,32.6,35.41
Polewali Mandar,36,37,41,45,68.73,63.53
Mamasa,16,14,9,3,9.64,39.03
Mamuju,49,46,62,72,70.89,100.99
Mamuju Utara,85,84,83,101,93.1,81.23
Mamuju Tengah,64,73,61,101,99.76,54.44
Maluku Tenggara Barat,20,35,23,47,41.98,22.54
Maluku Tenggara,86,94,130,101,122.7,110.22
Maluku Tengah,41,18,58,31,68.77,80.1
Buru,66,96,90,92,69.71,97.66
Kepulauan Aru,54,49,31,57,54.53,34.09
Seram Bagian Barat,12,16,23,14,51.68,25.12
Seram Bagian Timur,86,73,87,80,78.08,103
Maluku Barat Daya,15,22,17,10,6.5,14.17
Buru Selatan,16,28,18,21,11.71,32.34
Kota Ambon,49,56,47,25,55.81,44.32
Kota Tual,148,117,99,118,117.16,150.31
Halmahera Barat,61,36,58,69,53.99,41.07
Halmahera Tengah,39,84,133,45,57.8,91.52
Kepulauan Sula,25,31,38,22,50.58,55.52
Halmahera Selatan,105,72,73,181,111.1,155.69
Halmahera Utara,57,40,48,49,38.09,47.26
Halmahera Timur,67,57,63,62,43.42,45.08
Pulau Morotai,33,41,35,57,34.2,76.76
Pulau Taliabu,46,17,31,23,9.46,36.59
Kota Ternate,106,114,110,143,91.95,143.7
Kota Tidore Kepulauan,64,70,62,76,60.22,57.15
Fakfak,92,122,190,197,188.03,120.32
Kaimana,107,71,68,62,69.28,40.74
Teluk Wondama,57,100,56,77,95.47,78.7
Teluk Bintuni,88,71,92,99,83.46,93.36
Manokwari,74,107,100,97,72.34,42.85
Sorong Selatan,66,30,45,7,11.43,5.54
Sorong,92,124,68,97,104.81,147.37
Raja Ampat,55,63,108,106,45.3,59.01
Tambrauw,11,102,32,14,9.09,1.44
Maybrat,22,14,2,1,1.24,1
Manokwari Selatan,36,105,68,80,47.33,86.95
Pegunungan Arfak,14,1,5,6,3.9,13.66
Kota Sorong,118,46,46,92,115.42,111.92
Merauke,133,113,93,117,101.84,93.45
Jayawijaya,2,61,170,23,79.88,48.33
Jayapura,81,56,44,53,66.56,147.7
Nabire,79,91,303,379,268.43,167.86
Kepulauan Yapen,27,24,27,58,32.49,49.07
Biak Numfor,54,54,65,49,78.52,23.34
Paniai,2,-,11,-,-,12.19
Puncak Jaya,8,7,9,328,55.41,42.06
Mimika,121,79,86,54,73.55,74.68
Boven Digoel,48,33,56,77,76.42,55.11
Mappi,20,69,11,14,28.09,70.33
Asmat,12,13,12,15,7.72,28.58
Yahukimo,59,3,22,-,-,-
Pegunungan Bintang,36,22,78,-,-,2.14
Tolikara,4,-,-,-,0.5,-
Sarmi,91,42,19,50,34.83,10.08
Keerom,90,108,92,71,87.37,74.41
Waropen,372,34,56,93,7.18,7.02
Supiori,31,13,13,6,28.11,50.92
Mamberamo Raya,-,5,9,-,5.14,4.06
Nduga,-,-,-,-,-,5.82
Lanny Jaya,5,4,-,-,5.24,0.62
Mamberamo Tengah,-,-,-,-,32.24,13.88
Yalimo,5,1,7,75,52.42,27.95
Puncak,-,-,-,-,-,-
Dogiyai,-,11,16,15,8.84,-
Intan Jaya,-,-,-,-,-,3.04
Deiyai,-,-,-,-,-,35.94
Kota Jayapura,113,143,95,77,137.08,109.97
