Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Raja Ampat,52,72,99,93,74.97,81.61
Tambrauw,16,68,78,49,49.15,7.3
Maybrat,43,44,35,93,57.42,156.47
Manokwari Selatan,69,101,78,147,123.01,174.65
Pegunungan Arfak,-,-,4,17,1.03,5.37
Kota Sorong,134,99,111,141,238.33,161.02
Merauke,172,193,216,151,219.8,127.59
Jayawijaya,-,949,117,330,99.32,305.71
Jayapura,116,133,70,107,119.09,196.09
Nabire,121,140,448,306,228.34,230.63
Kepulauan Yapen,61,39,77,174,183.16,76.11
Biak Numfor,68,44,192,68,49.59,40.34
Paniai,1,27,-,-,-,2.59
Puncak Jaya,19,16,240,66,-,-
Mimika,129,119,34,62,44.78,74.95
Boven Digoel,50,40,18,63,78.74,65.56
Mappi,192,58,60,44,78.08,63.99
Asmat,9,27,37,49,79.19,35.77
Yahukimo,28,19,29,4,4.29,8.24
Pegunungan Bintang,96,126,78,9,1.01,1.07
Tolikara,-,6,-,-,9.38,3.27
Sarmi,147,137,116,87,88.82,44.24
Keerom,210,148,242,249,213.36,202.47
Waropen,418,140,100,241,59.2,24.57
Supiori,30,69,11,23,8.12,53.5
Mamberamo Raya,-,-,6,55,0.89,-
Nduga,-,-,-,-,-,-
Lanny Jaya,-,-,-,2,-,4.85
Mamberamo Tengah,-,1,12,-,40.76,15.47
Yalimo,1,6,150,-,6.77,1.73
Puncak,-,-,-,-,-,-
Dogiyai,-,2,20,11,26.95,2.47
Intan Jaya,30,150,-,-,-,4.71
Deiyai,31,4,-,-,-,4.55
Kota Jayapura,191,97,83,55,90.83,117.05
